epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,31.8532,0.76317,1.71701,1.1272,1,0.20366,0.52271,0.44679,0.76766,2.6823,0.94774,0.000306726,0.000306726,0.000306726
61,32.3061,0.65885,1.63973,1.03163,1,0.20366,0.52271,0.44679,0.76766,2.6823,0.94774,0.0003045,0.0003045,0.0003045
62,32.7644,0.6527,1.48869,1.02544,1,0.20366,0.52271,0.44679,0.76766,2.6823,0.94774,0.000302026,0.000302026,0.000302026
63,33.2284,0.79281,1.78073,1.15538,0.75601,0.29256,0.51047,0.4404,0.81216,2.68313,0.95922,0.000299305,0.000299305,0.000299305
64,33.6842,0.68966,1.48021,1.0075,0.75601,0.29256,0.51047,0.4404,0.81216,2.68313,0.95922,0.000296336,0.000296336,0.000296336
65,34.1291,0.6899,1.55568,1.07909,0.75601,0.29256,0.51047,0.4404,0.81216,2.68313,0.95922,0.00029312,0.00029312,0.00029312
66,34.6067,0.63994,1.40989,1.01543,0.48334,0.45094,0.51777,0.43683,0.84355,2.67924,0.97242,0.000289656,0.000289656,0.000289656
67,35.0577,0.80964,1.49822,1.11877,0.48334,0.45094,0.51777,0.43683,0.84355,2.67924,0.97242,0.000285945,0.000285945,0.000285945
68,35.5072,0.76533,1.49566,1.05786,0.48334,0.45094,0.51777,0.43683,0.84355,2.67924,0.97242,0.000281986,0.000281986,0.000281986
69,35.9815,0.71894,1.48562,1.09438,0.48546,0.70091,0.53089,0.45776,0.84837,2.64613,0.98822,0.00027778,0.00027778,0.00027778
70,36.4315,0.63198,1.3876,1.01888,0.48546,0.70091,0.53089,0.45776,0.84837,2.64613,0.98822,0.000273326,0.000273326,0.000273326
71,36.88,0.77527,1.48298,1.09275,0.48546,0.70091,0.53089,0.45776,0.84837,2.64613,0.98822,0.000268625,0.000268625,0.000268625
72,37.3523,0.75088,1.5981,1.07026,0.56109,0.57061,0.53869,0.46485,0.82655,2.55684,0.97353,0.000263676,0.000263676,0.000263676
73,37.7963,0.63993,1.3406,1.01846,0.56109,0.57061,0.53869,0.46485,0.82655,2.55684,0.97353,0.00025848,0.00025848,0.00025848
